Stock Code,Update Date,Weight,Trade Start Date,Trade End Date
0388.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0688.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0857.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0941.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
1044.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
1113.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0293.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0494.HK,2016-11-30,-0.07142857142857142,2016-12-01,2016-12-31
0003.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0011.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0066.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0386.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0700.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
1113.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
1398.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
1928.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
2319.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
2628.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
3328.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0992.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0004.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0494.HK,2016-12-30,0.07142857142857142,2017-01-01,2017-01-31
0001.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0012.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0019.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0101.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0151.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0688.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0857.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0883.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0941.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
1088.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
2318.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0836.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0023.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0144.HK,2016-12-30,-0.07142857142857142,2017-01-01,2017-01-31
0001.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0012.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0019.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0066.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0083.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0151.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0386.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0823.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
1109.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
1113.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
1299.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0135.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0293.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0494.HK,2017-01-27,0.07142857142857142,2017-02-01,2017-02-28
0005.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0101.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0688.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0700.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0857.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0883.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0939.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0941.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
1044.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
1928.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
2319.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
2628.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0836.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0004.HK,2017-01-27,-0.07142857142857142,2017-02-01,2017-02-28
0002.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0012.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0016.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0083.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0700.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
1299.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
1398.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
2018.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
2318.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
2388.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
3328.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0836.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0023.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0293.HK,2017-02-28,0.07142857142857142,2017-03-01,2017-03-31
0151.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0386.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0688.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0939.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0941.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
1038.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
1044.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
1109.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
1928.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
2319.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0144.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0992.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0004.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0494.HK,2017-02-28,-0.07142857142857142,2017-03-01,2017-03-31
0001.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
0006.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
0019.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
0101.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
0388.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
1038.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
1044.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
1088.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
1113.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
2018.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
2319.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
3988.HK,2017-03-31,0.07142857142857142,2017-04-01,2017-04-30
